Program,Year_Semester,Program_Code,Subject_Description,Lec_Units,Lab_Units,Other_Units,Total_Units,Hrs_Sem,Prerequisites
BS_Tourism_Management,3rd Year - 1st Semester,THC 313,"Legal Aspects in Tourism Hospitality",3,0,0,3,,"None"
BS_Tourism_Management,3rd Year - 2nd Semester,TPC 323 a,"Foreign Language 2",3,0,0,3,,"TPC 313 a"
BS_Tourism_Management,3rd Year - 2nd Semester,BME 323 a,"Operations Management in TH Industry",3,0,0,3,,"None"
BS_Tourism_Management,3rd Year - 2nd Semester,BME 323 b,"Strategic Management in TH 1",3,0,0,3,,"None"
BS_Tourism_Management,3rd Year - 2nd Semester,THC 323 a,"Professional Dev. and Applied Ethics",3,0,0,3,,"None"
BS_Tourism_Management,3rd Year - 2nd Semester,THC 323 b,"Tourism and Hospitality Marketing",3,0,0,3,,"None"
BS_Tourism_Management,3rd Year - 2nd Semester,THC 323 c,"Microperspective of Tourism & Hospitality",3,0,0,3,,"None"
BS_Tourism_Management,3rd Year - 2nd Semester,THC 323 d,"Entrep. in Tourism and Hospitality",3,0,0,3,,"None"
BS_Tourism_Management,3rd Year - 2nd Semester,TMPE 323,"Elective 3 (Specailized Food & Beverage Service Operation)",3,0,0,3,,"None"
BS_Tourism_Management,4th Year - 1st Semester,TMPE 413 a,"Elective 4 (Tourism Product Development)",3,0,0,3,,"None"
BS_Tourism_Management,4th Year - 1st Semester,TMPE 413 b,"Elective 5 (Convention/ Conference Mgt.)",3,0,0,3,,"None"
BS_Tourism_Management,4th Year - 1st Semester,THC 413 a,"Multi Cultural Diversity in Work Place",3,0,0,3,,"THC113, THC123, THC213a"
BS_Tourism_Management,4th Year - 1st Semester,THC 413 b,"Macroperspective of Tourism & Hospitality",3,0,0,3,,"None"
BS_Tourism_Management,4th Year - 1st Semester,TPC 413,"Research in Tourism",3,0,0,3,,"None"
BS_Tourism_Management,4th Year - 1st Semester,Fin 413,"Business Finanace",3,0,0,3,,"None"
BS_Tourism_Management,4th Year - 1st Semester,Eco 413,"Applied Economics",3,3,0,3,,"None"
BS_Tourism_Management,4th Year - 2nd Semester,TM426,"PRACTICUM",0,6,0,6,,"All Subjects"
